id	count	hate_speech	offensive_language	neither	class	tweet
1	3	0	3	0	1	!!!!! RT @ mleew17: boy dats cold ... tyga dwn bad for cuffin dat hoe στην 1η θέση !! 
2	3	0	3	0	1	!!!!!!! RT @UrKindOfBrand Dawg !!!! RT @ 80sbaby4life: Γάμησες ποτέ σκύλα και  άρχισε να κλαίει; Μπερδεύεσαι σκατά 
3	3	0	2	1	1	!!!!!!!!! RT @C_G_Anderson: @viva_based μοιάζει με τρενάκι 
4	6	0	6	0	1	!!!!!!!!!!!!! RT @ShenikaRoberts: Το σκατά που ακούτε για μένα μπορεί να είναι αλήθεια ή μπορεί να είναι πιο ψεύτικο από τη σκύλα που το είπε σε εσάς & # 
8	3	0	3	0	1	"""& amp; ίσως να μην πάρετε πίσω σκύλα & αυτό είναι"" "
9	3	1	2	0	1	"""@rhythmixx_: τα χόμπι περιλαμβάνουν: καταπολέμηση της Μαριάμ""  σκύλα "
10	3	0	3	0	1	"""Ο Keeks είναι μια σκύλα που κυρτίζει όλους"" lol. Μπήκα σε μια συνομιλία σαν αυτή. Σμχ "
11	3	0	3	0	1	"""Η Murda Gang σκύβει το Gang Land της"" "
12	3	0	2	1	1	«Λοιπόν, οι χαρούμενοι που καπνίζουν είναι χαμένοι;» ναι, πηγαίνετε στο IG 
13	3	0	3	0	1	"""τα κακά σκύλα είναι το μόνο πράγμα που μου αρέσει"" "
14	3	1	2	0	1	"""σκύλα σηκωθείτε από εμένα"" "
15	3	0	3	0	1	"""σκύλα nigga μου λείπεις με αυτό"" "
16	3	0	3	0	1	"""σκύλα παρακαλώ οτιδήποτε"" "
17	3	1	2	0	1	"""σκύλα που σε αγαπάς"" "
18	3	0	3	0	1	"""σκύλες κόβονται καθημερινά Β"" "
19	3	0	3	0	1	"""μαύρο μπουκάλι και μια κακή σκύλα"" "
20	3	0	3	0	1	"""έσπασε σκύλα δεν μπορείς να μου πεις τίποτα"" "
21	3	0	3	0	1	"""ακυρώστε αυτή τη σκύλα σαν τον Νίνο"" "
22	3	0	3	0	1	"""μπορείτε να δείτε ότι αυτές οι τσάπες δεν θα αλλάξουν"" "
23	3	0	3	0	1	"""σκατά που η σκύλα δεν πιπιλίζει ούτε πουλί"" & # 128514; & # 128514; & # 128514; τα βίντεο Kermit για να σκατά IG "
24	3	0	3	0	1	"""πήρα το δάχτυλό μου στα δάπεδα σκληρού ξύλου μου"" & # 128514; http://t.co/cOU2WQ5L4q "
25	3	0	2	1	1	"""τα χείλη της μουνί σαν τις πόρτες του Ουρανού"" & # 128524; "
26	3	0	3	0	1	"""σκατά για ποιο χτύπημα"" "
27	3	0	3	0	1	"""Γνώρισα αυτό το μουνί στον Ωκεανό Δρ. έδωσα σε αυτό το μουνί ένα χάπι"" & # 128524; "
28	3	0	3	0	1	"""Χρειάζομαι μια τριπλή σκύλα που σκατά στο Hennessy"" "
29	3	0	3	0	1	"""ξοδεύω τα χρήματά μου πώς θέλω να είναι σκύλα μου"" "
30	3	0	3	0	1	"""γράφω το παλιό μου σκύλα το νέο μου σκύλα υγρότερο"" "
31	3	0	3	0	1	"""Θα έλεγα ότι είμαι πίσω στον παλιό μου, αλλά οι παλιές σκύλες μου θα ενθουσιαστούν"" "
32	3	0	3	0	1	"""αν δεν πρόκειται για το Murder Game μουνί nigga σταματήσει"" "
33	3	0	3	0	1	"""αν δεν κάνεις τα δάχτυλά σου βρωμάει το μουνί"" "
34	3	0	3	0	1	"""Έχω τελειώσει με πικρές σκύλες είναι ένα περιτύλιγμα για αυτό. αν είστε ένα θυμωμένο πουλί υπάρχει μια εφαρμογή για αυτό"" "
35	3	0	3	0	1	"""είναι αυτή η σκύλα"" "
36	3	0	3	0	1	"""δεν είναι τίποτα να κόψουμε μια σκύλα"" "
37	3	0	3	0	1	"""Απλά συναντήστε τον γιο σας, τώρα, χαίρε,"" #Shots "
38	3	0	2	1	1	"""Τα κουτάλια κλαίνε για σκαπάνες που είναι δάκρυα κλόουν"" "
39	3	0	3	0	1	"""όπως είπε ο Snoop το 94, δεν αγαπάμε αυτές τις τσάπες"" "
40	3	0	1	2	2	"""η μαμά είπε ότι δεν υπάρχουν γάτες μουνί στο σκυλόσπιτο μου"" "
41	3	0	3	0	1	"""το πιο μισούμενο αλλά το αγαπημένο σκαπάνη"" # 2MW #SevenOne # http://t.co/BMdSVMc3rC "
42	3	0	3	0	1	"""ωραία κορίτσια άσχημα, με κάνει να γίνω άτακτος. Κακό γεια σου σκαπάνη, πραγματικά ωραίο σώμα. Κάτω νότια γκόμενα, σαν να είναι πραγματικά παχύ"" http://t.co/bzRDl3kF7U "
43	3	0	3	0	1	"""Σπυράκια επάνω σπυράκια κάτω"" Μελλοντική φωνή "
44	3	0	3	0	1	"""δημοσιεύστε μια φωτογραφία αυτού του μουνιού λάβετε 200 επισημάνσεις"" μου αρέσει "" "
45	3	0	3	0	1	"""το μουνί είναι ένα ισχυρό φάρμακο"" & # 128517; #HappyHumpDay http://t.co/R8jsymiB5b "
46	3	0	3	0	1	"""γρήγορο κομμάτι μουνί το ονομάζω με το αυτοκίνητο"" "
47	3	0	3	0	1	"""τρέχει εδώ σαν ένα ολοκαίνουργιο μουνί που πρόκειται να πατήσουμε"" "
48	3	0	3	0	1	"""αυτές οι σκύλες ακόμα χειρότερα θα τους στείλουν παιδιά για σένα"" "
49	3	1	2	0	1	"""Αυτές οι τσάπες όπως το niggas που ξοδεύουν χρήματα δεν μιλάνε για αυτό"" "
50	3	1	2	0	1	"""Δεν εμπιστευόμαστε αυτά τα niggas όλα αυτά τα σκύλα"" "
51	3	0	3	0	1	"""yall niggas b cuffing hoe γιατί δεν μπορεί ποτέ να έχει σκύλα"" "
52	3	0	3	0	1	"""αποφεύγεις μια σφαίρα"" & # 128517; & # 8220; @DaRealKha: ""Όλες οι σκύλες που έκοψα έγκυες ή δεσμεύτηκα να .... ευχαριστώ τον Θεό & # 128591;"" & # 8221; "
53	3	0	3	0	1	"""Young Pill Chamberlain, αυτές οι σκύλες λατρεύουν τη μουσική μου"" "
54	3	0	2	1	1	"""& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; @VandalSavage_: Teanna Trump μάλλον καθαρότερο από τα περισσότερα από αυτά τα σκαπάνη στο twitter αλλά ......... "" "
55	3	0	3	0	1	"""& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514;"" # 128514; να ενεργήσω σαν σκύλα απόψε "" "
56	3	0	3	0	1	"""& # 128514; & # 128514; & # 128514; @The_Paradox: Και κλέψω τη γάτα του και αντικαταστήστε την με ένα pitbull & # 128514; & # 128514; & # 128514; & # 128514; RT @ 80sbaby4life: @The_Paradox He μια σκύλα πρέπει να το κάνεις "" "
57	3	0	3	0	1	"""& amp; έχει φύγει πάντα μια σκαπάνη"" "
58	3	0	3	0	1	"""... Ο γιος της σκύλας πήρε τα Tic Tacs μου.""  Μου αρέσει αυτή η ταινία. "
59	3	0	3	0	1	""".. Το μόνο που θέλω να κάνω είναι να βγάλω λεφτά και να σκατάω! - Ράσελ Σίμονς "
60	3	0	2	1	1	"""@ 2015seniorprobs: Πιθανότατα δεν θα με πειράζει το σχολείο αν δεν χρειαζόταν να ασχοληθούμε με τους δασκάλους. Κάνετε retweet "
61	3	0	3	0	1	"""@ A7XDemery: Είμαι μια γαμημένη φαντασία που είπαν "
