Text	Date	Favorites	Retweets	Tweet_ID
Τελικοί αριθμοί Nielson Media Research σχετικά με την ΑΠΟΔΟΧΗ ΛΟΓΟΥ: TRUMP 32,2 MILLION. ΚΛΙΝΤΟΝ 27,8 εκατομμύρια. Ευχαριστώ! 	7/30/16 23:32	13850	4130	7.59593e+17
Ευχαριστώ όλους τους τηλεοπτικούς θεατές που έκαναν την ομιλία μου στην Εθνική Συνέλευση Ρεπουμπλικανών # 1 για το Crooked Hillary και το DEMS. 	7/30/16 19:00	27659	6842	7.59524e+17
Μπορείτε να φανταστείτε αν είχα τα μικρά πλήθη που σχεδιάζει σήμερα η Χίλαρι στην Πενσυλβάνια. Θα ήταν ένα μεγάλο γεγονός των μέσων ενημέρωσης! @CNN @FoxNews 	7/30/16 18:28	19968	6488	7.59516e+17
Ο διοικητής του ΝΑΤΟ συμφωνεί ότι τα μέλη πρέπει να πληρώσουν μέσω του @dcexaminer: _ 	7/30/16 18:24	11624	4668	7.59515e+17
Ουάου, ο ανώτερος διοικητής του ΝΑΤΟ μόλις ανακοίνωσε ότι συμφωνεί μαζί μου ότι τα μέλη της συμμαχίας πρέπει να πληρώσουν τους λογαριασμούς τους. Αυτός είναι ένας στρατηγός που θα ήθελα! 	7/30/16 18:18	23922	7819	7.59514e+17
"Το ""Rust Belt"" δημιουργήθηκε από πολιτικούς όπως οι Κλίντον που επέτρεψαν να μας κλέψουν οι δουλειές μας από άλλες χώρες όπως το Μεξικό. ΤΕΛΟΣ! "	7/30/16 18:12	17239	5717	7.59512e+17
Στρατή στάση στο Τζόνσταουν της Πενσυλβανίας, όπου οι θέσεις εργασίας έχουν απολυμανθεί απολύτως από χαζούς πολιτικούς, έφτασε λιγότερο από 200 - με τον Bill, VP 	7/30/16 18:04	19254	7013	7.5951e+17
#CrookedHillary = Η τρίτη θητεία του Ομπάμα, η οποία θα ήταν τρομερή είδηση για την οικονομική μας ανάπτυξη - φαίνεται παρακάτω. Pic.twitter.com/y9WJoUaaql 	7/30/16 17:55	15358	6439	7.59508e+17
Η λέξη είναι ότι το Crooked Hillary έχει πολύ μικρά και ανυπόμονα πλήθη στην Πενσυλβάνια. Ίσως επειδή ο σύζυγός της υπέγραψε τη NAFTA; 	7/30/16 17:51	18311	5820	7.59507e+17
Απέρριψα μια συνάντηση με τον Charles και τον David Koch. Πολύ καλύτερα για να συναντηθούν με τις μαριονέτες της πολιτικής, θα κάνουν πολύ καλύτερα! 	7/30/16 16:01	25930	9474	7.59479e+17
Γιατί τα μέσα μαζικής ενημέρωσης δεν θέλουν να το αναφέρουν αυτό στις δύο «μεγάλες Πέμπτες» όταν κάναμε τις συνομιλίες μας με τον Crooked Hillary 	7/30/16 15:55	20774	6360	7.59478e+17
# CrookedHillarypic.twitter.com / xyoPFJmByp 	7/30/16 14:34	16778	8077	7.59457e+17
Η στριμμένη Χίλαρι Κλίντον είναι απαλή στο έγκλημα, υποστηρίζει ανοιχτά σύνορα και θέλει μαζικές αυξήσεις φόρων. Μια φόρμουλα για καταστροφή! 	7/30/16 14:07	22515	7659	7.5945e+17
Το βίαιο έγκλημα αυξάνεται στις Ηνωμένες Πολιτείες, ωστόσο η σύμβαση του DNC το αγνόησε. Η μείωση του εγκλήματος θα είναι μια από τις κορυφαίες προτεραιότητές μου. 	7/30/16 14:06	23173	7245	7.5945e+17
Μόλις επέστρεψε από το Κολοράντο. Η αγάπη και ο ενθουσιασμός σε δύο αγώνες ήταν απίστευτες. Μεγάλα πλήθη! 	7/30/16 12:29	19488	4538	7.59426e+17
Ενώ βρίσκομαι στο OH & PA - μπορείτε επίσης να εγγραφείτε στο @Mike_Pence στη Νεβάδα τη Δευτέρα!  Carson City: https://www.donaldjtrump.com/schedule/register/carson-city-nv/Ã¥ÃŠâ € ^^Ã›_  Ρίνο: https://www.donaldjtrump.com/schedule/register/reno-nv1/Ã¥ÃŠâ € ^^Ã›_ 	7/30/16 10:19	10715	3452	7.59393e+17
Ελάτε μαζί μου τη Δευτέρα στο Columbus, Ohio & Harrisburg, Pennsylvania! # ΜΑΓΑ  3 μ.μ. στο OH: https://www.donaldjtrump.com/schedule/register/columbus-oh1/Ã¥ÃŠâ € ^^Ã›_  7μμ στο PA: https://www.donaldjtrump.com/schedule/register/harrisburg-pa1/Ã¥ÃŠâ € ^^Ã›_ 	7/30/16 10:05	9746	3310	7.5939e+17
"Το αμερικανικό ποσοστό ιδιοκτησίας σπιτιού το 2ο τρίμηνο του 2016 ήταν 62,9% - το χαμηλότερο ποσοστό στα 51 χρόνια. Θα επαναφέρουμε το ""American Dream!"" Pic.twitter.com/yI4Q8FHRjp "	7/30/16 9:35	22748	8836	7.59382e+17
Υποφέρουμε από τη χειρότερη μακροχρόνια ανεργία τα τελευταία 70 χρόνια. Θέλω αλλαγή - η στραβά Hillary Clinton δεν το κάνει 	7/30/16 8:57	24434	8019	7.59372e+17
Η Χίλαρι δεν μπορεί ποτέ να κερδίσει τους υποστηρικτές της Μπερνι. Οι ξένοι πόλεμοι της,  Η υποστήριξη NAFTA / TPP και οι δεσμοί της Wall Street απομακρύνουν εκατομμύρια ψήφους. 	7/30/16 8:54	21728	7104	7.59372e+17
Το Κολοράντο ήταν καταπληκτικό χθες! Τόση υποστήριξη. Οι φορολογικές, εμπορικές και ενεργειακές μεταρρυθμίσεις μας θα προσφέρουν μεγάλες δουλειές στο Κολοράντο και σε ολόκληρη τη χώρα. 	7/30/16 8:53	17225	4420	7.59371e+17
"""@patrioticpepe: @realDonaldTrump ΜΟΝΟ Ο ΑΝΤΑΛΛΑΚΤΙΚΟΣ ΜΠΟΡΕΙ ΝΑ ΕΝΩΣΕΙ ΤΗΝ ΑΜΕΡΙΚΗ ΚΑΙ ΔΙΟΡΘΩΣΤΕ ΤΑ ΛΑΘΗΜΑΤΑ ΤΟΥ ΟΒΑΜΑ !!! # Trump2016 pic.twitter.com/yB72Bm2muM"" "	7/30/16 2:59	29060	11414	7.59282e+17
Ευχαριστώ Ντένβερ, Κολοράντο!  #MakeAmericaGreatAgain! Pic.twitter.com/1KHrLdkOyW 	7/29/16 23:22	16602	4750	7.59228e+17
Όπως συνήθως, η Χίλαρι και οι Ντέμς προσπαθούν να διώξουν τις συζητήσεις, οπότε 2 είναι ενάντια στα μεγάλα παιχνίδια της NFL Το ίδιο με την τελευταία φορά με τον Bernie. Απαράδεκτος! 	7/29/16 23:03	36424	14567	7.59223e+17
#CrookedHillary Job Applicationpic.twitter.com/CKXkAlGSiV 	7/29/16 21:01	32498	15368	7.59192e+17
Η Χίλαρι Κλίντον δεν θα πρέπει να λαμβάνει ενημερώσεις σχετικά με την εθνική ασφάλεια, καθώς είναι ένα πυροβόλο που χάνει με εξαιρετικά κακή κρίση και ένστικτα. 	7/29/16 20:57	34947	10957	7.59191e+17
Ευχαριστούμε τους εκπληκτικούς αξιωματικούς επιβολής του νόμου στο Κολοράντο!  #MakeAmericaGreatAgain # LESMpic.twitter.com / glxTQYAQiN 	7/29/16 20:34	28111	8979	7.59185e+17
Ευχαριστώ, Κολοράντο Σπρινγκς. Βγείτε & ΨΗΦΙΣΤΕ # TrumpPence16 τον Νοέμβριο! Pic.twitter.com/wK02fWzJey 	7/29/16 18:25	21879	7067	7.59153e+17
"""Μόνο ένας Ρέιγκαν ή μια μορφή τύπου Τραμπ στον Λευκό Οίκο θα πετύχει αυτόν τον στόχο."" Http://www.cnbc.com/2016/07/29/we-need-a-tough-negotiator-like-trump- to-fix-us-trade-policy-commentary.htmlÃ ¥ ÃŠâ € ° Ã ›_ "	7/29/16 16:04	20483	7991	7.59117e+17
Ακόμα και ο Μπιλ είναι κουρασμένος από τα ψέματα, SAD! https://www.instagram.com/p/BIdHmRbjEp0/Ã¥ÃŠ 	7/29/16 14:30	21501	7543	7.59094e+17
Ελάτε μαζί μου στο Colorado Springs στις 2 μ.μ. - ή στο Ντένβερ απόψε στις 7 μ.μ.!  Κολοράντο Σπρινγκς: https://www.donaldjtrump.com/schedule/register/colorado-springs-co/Ã¥ÃŠâ € ^^Ã›_  Ντένβερ: https://www.donaldjtrump.com/schedule/register/denver-co1/Ã¥ÃŠâ € ^^Ã›_ 	7/29/16 14:10	10071	3014	7.59089e+17
Τι σκέφτεται πραγματικά ο Bernie Sanders για τον Crooked Hillary Clinton.pic.twitter.com/VgMaAsZBep 	7/29/16 13:53	38170	20383	7.59085e+17
